coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Feb 25 18:37:07 +0000 2015,ferguson BlackLivesMatter PoliceLivesMatter health,,https://medium.com/the-cauldron/i-cant-breathe-either-a08516e2bef6,3,570653736785334272,,,,en,,False,1,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","READ of the day: important article on #ferguson, #BlackLivesMatter, #PoliceLivesMatter mental #health, trauma: https://t.co/Gw95iSSOLt",https://twitter.com/Pragmactivist99/status/570653736785334272,Thu Oct 06 16:40:53 +0000 2011,Pragmactivist99,False,"I do climate justice, human rights, peace/conflict, SustainUS+ @350Mass work, @HuffingtonPost blogger. Youth delegate to UN climate negotiations",391,2368,2219,114,Globetrotter,Adam Greenberg,Pragmactivist99,14495,Atlantic Time (Canada),,False
,Wed Feb 25 19:12:22 +0000 2015,ferguson BlackLivesMatter PoliceLivesMatter health,,https://medium.com/the-cauldron/i-cant-breathe-either-a08516e2bef6,0,570662608426160128,,,,en,,False,1,570653736785334272,Pragmactivist99,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Pragmactivist99: READ of the day: important article on #ferguson, #BlackLivesMatter, #PoliceLivesMatter mental #health, trauma: https:/…",https://twitter.com/Glidehoyas/status/570662608426160128,Wed Dec 02 05:44:15 +0000 2009,Glidehoyas,False,Georgetown's #1 Super Fan! I enjoy writing about the Hoyas. #basketball #pointguardplay #passion #respect #determination #humble #hungry,16475,1838,2037,46,,Glidehoyas,Glidehoyas,173596,Central Time (US & Canada),https://glidehoyas.wordpress.com/,False
,Thu Feb 26 00:26:55 +0000 2015,PoliceLivesMatter Ferguson ICantBreathe Ferguson,http://twitter.com/Dickster363/status/542114156686872577/photo/1,,0,570741765973483520,,,,en,,True,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dickster363: Community Organizing at it's best. #PoliceLivesMatter #Ferguson #ICantBreathe # Chicagoland http://t.co/2v5OOHhWX8"" #Ferguson",https://twitter.com/ThatS0MIMl/status/570741765973483520,Sun Dec 16 07:37:29 +0000 2012,ThatS0MIMl,False,biracial fmr DJ & present opinion giver lol. bi partisan & study diff religions & culture. RT dnt always mean endorsement,2310,332,283,7,Southern Exposure TN,☆That's So MiMi☆,ThatS0MIMl,12644,Eastern Time (US & Canada),,False
,Thu Feb 26 15:29:37 +0000 2015,WarOnPolice policelivesmatter insanity ferguson holder,,http://denver.cbslocal.com/2015/02/17/denver-cops-cry-foul-over-n-word-discipline/,0,570968937120333825,,,,und,,False,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://t.co/noMASK8VyA #WarOnPolice #policelivesmatter #insanity #ferguson #holder,https://twitter.com/HotNostrilsrFun/status/570968937120333825,Thu Jul 26 16:11:27 +0000 2012,HotNostrilsrFun,False,,43537,2049,2094,77,,linda ,HotNostrilsrFun,60258,,,False
,Thu Feb 26 20:41:38 +0000 2015,Ferguson PoliceLivesMatter,http://twitter.com/JosephMRyan1/status/568391367258275840/photo/1,http://www.cnn.com/2015/02/18/politics/ferguson-justice-department-lawsuit/,0,571047458995712002,,,,en,,True,9,568391367258275840,JosephMRyan1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JosephMRyan1: Justice Dept. could sue Ferguson for racial discrimination http://t.co/5gCXrEVmKp #Ferguson #PoliceLivesMatter http://t.c…,https://twitter.com/katclaws/status/571047458995712002,Wed Mar 18 03:43:25 +0000 2009,katclaws,False,Female,14878,352,668,4,usa,katclaws,katclaws,20136,Central Time (US & Canada),,False
,Fri Feb 27 16:13:51 +0000 2015,Ferguson PoliceLivesMatter tcot,http://twitter.com/thecjpearson/status/550337982801399808/photo/1,,0,571342456073150467,,,,en,,False,9,569747086238830592,StLNetworkGuru,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @StLNetworkGuru: Thanks to #Ferguson selling a lie “@thecjpearson: #PoliceLivesMatter http://t.co/6zsMdwqhTp” #tcot,https://twitter.com/Macpisme/status/571342456073150467,Tue Mar 06 20:53:15 +0000 2012,Macpisme,False,"Faith in God!Politicaly informed,IOS GAL.GBS SURVIVOR. Luv Family.NOP.C.B.S.FollowedByDineshD'Souza,SeanHannity,JamesRosenFNC,JohnathanHoenig#PJNET",22871,4355,4257,62,SanDiegoNativeCa.Bay Area,❤️Michelle❤️,Macpisme,27011,,,False
,Fri Feb 27 16:14:03 +0000 2015,Ferguson PoliceLivesMatter tcot,http://twitter.com/thecjpearson/status/550337982801399808/photo/1,,0,571342508329840640,,,,en,,False,9,569747086238830592,StLNetworkGuru,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @StLNetworkGuru: Thanks to #Ferguson selling a lie “@thecjpearson: #PoliceLivesMatter http://t.co/6zsMdwqhTp” #tcot,https://twitter.com/ProgPoker/status/571342508329840640,Fri Nov 21 23:26:36 +0000 2014,ProgPoker,False,,6156,372,277,9,,ProgPoker,ProgPoker,11014,,,False
,Fri Feb 27 16:21:03 +0000 2015,Ferguson PoliceLivesMatter tcot,http://twitter.com/thecjpearson/status/550337982801399808/photo/1,,0,571344269643943936,,,,en,,False,9,569747086238830592,StLNetworkGuru,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @StLNetworkGuru: Thanks to #Ferguson selling a lie “@thecjpearson: #PoliceLivesMatter http://t.co/6zsMdwqhTp” #tcot,https://twitter.com/JRG_ME/status/571344269643943936,Wed Dec 10 03:17:04 +0000 2014,JRG_ME,False,"I'm an independent conservative, Christian, hard worker and good man that believes the USA is the best country on earth, knowledge is power, and life is good!!",3240,627,669,20,Wisconsin,I am who I am,JRG_ME,5595,Central Time (US & Canada),,False
,Sat Feb 28 01:33:26 +0000 2015,FERGUSON SOLIDARITY POLICELIVESMATTER,,http://ustre.am/1lbVu,0,571483280777842688,,,,en,,False,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",LIVE VIDEO: #FERGUSON TO NEW YORK #SOLIDARITY PARADE WITH CANDY AND BALLOONS!!  #POLICELIVESMATTER http://t.co/Q6J78YBiZ7,https://twitter.com/nothiefs/status/571483280777842688,Sun Oct 19 04:50:02 +0000 2014,nothiefs,False,"We are a large group that is built upon patriotic like-minded law enforcement, military, and citizens. Exposing the #occupy machine.",372,514,430,14,Occupying America,ɴᴏᴛʜɪᴇғs.ᴄᴏᴍ™,nothiefs,2000,Eastern Time (US & Canada),http://www.NoThiefs.com,False
,Sat Feb 28 01:50:23 +0000 2015,NYC FERGUSON FERGUSONSPRING OCCUPY SLUGS POLICELIVESMATTER TCOT 2A 1A USA1,,http://ustre.am/1lbVu,0,571487546930302976,,,,en,,False,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",LIVE: PROTESTERS BLOCK #NYC STREETS  http://t.co/Q6J78YBiZ7 #FERGUSON #FERGUSONSPRING #OCCUPY #SLUGS #POLICELIVESMATTER #TCOT #2A #1A #USA1,https://twitter.com/nothiefs/status/571487546930302976,Sun Oct 19 04:50:02 +0000 2014,nothiefs,False,"We are a large group that is built upon patriotic like-minded law enforcement, military, and citizens. Exposing the #occupy machine.",372,514,430,14,Occupying America,ɴᴏᴛʜɪᴇғs.ᴄᴏᴍ™,nothiefs,2000,Eastern Time (US & Canada),http://www.NoThiefs.com,False
,Sat Feb 28 19:19:19 +0000 2015,PoliceLivesMatter Ferguson,http://twitter.com/Korn_Wallace/status/547115069654302720/photo/1,https://ricochet.com/extraordinary-life-barack-obamas-imaginary-son/,0,571751520930177024,,,,en,,False,169,547115069654302720,Korn_Wallace,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Korn_Wallace: The Imaginary Sons Of Barak Obama Are Destroying This Nation #PoliceLivesMatter #Ferguson https://t.co/QrdJlgOB3n http://…,https://twitter.com/wolfvalleypro/status/571751520930177024,Mon Nov 09 23:06:01 +0000 2009,wolfvalleypro,True,,39,350,1802,0,,Michael de Bills,wolfvalleypro,386,,,False
,Mon Mar 02 03:01:38 +0000 2015,Usa lapd Ferguson freepalestine PoliceLivesMatter excessiveforce,,https://www.facebook.com/jeff.rasmussen.31/posts/10206516185734553,1,572230251503206400,,,,en,,False,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Wow #Usa is going down the toilet the https://t.co/nW84kXEIPu #lapd #Ferguson #freepalestine #PoliceLivesMatter #excessiveforce,https://twitter.com/gbmrhino/status/572230251503206400,Tue Jan 11 16:50:20 +0000 2011,gbmrhino,False,"2 yr glioblastoma brain cancer survivor, pilot, Bitcoin lover, 3 time Ironman, storm chaser http://t.co/2i16IUNOYK",5381,767,1055,45,"Bangkok, Thailand ",Rhino,gbmrhino,12995,Alaska,,False
,Tue Mar 03 08:59:41 +0000 2015,Ferguson PoliceLivesMatter,,,0,572682749078728704,wickedizzle,572668857913118720,826691797,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@FBI @AmarilloPD @SLMPD Please be aware that @wickedizzle is threatening to decapitate/kill Ofc. Darren Wilson #Ferguson #PoliceLivesMatter,https://twitter.com/ElenaElena8585/status/572682749078728704,Mon Jun 17 19:05:00 +0000 2013,ElenaElena8585,False,"Wife, friend, lover of all animals(except spiders)",9874,350,38,11,,Elena ,ElenaElena8585,8530,Atlantic Time (Canada),,False
,Tue Mar 03 19:51:46 +0000 2015,PoliceLivesMatter,,,2,572846848785944576,,,,en,,,3,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#PoliceLivesMatter DOJ finds bias in Ferguson Police probe. What the hell did you think the Eric Holder witch hunt would conclude? Asshats!,https://twitter.com/taaaap35/status/572846848785944576,Sun Feb 12 23:26:09 +0000 2012,taaaap35,False,"Not politically correct! At all! Pro Tea party, Christian, Isreal, conservative and pro life. retired cop-swat, MOLON LABE #tcot anti-Libtard!",2861,950,993,14,,Teabone35,taaaap35,3231,,,False
,Wed Mar 04 04:44:00 +0000 2015,PoliceLivesMatter,,,0,572980788104331265,,,,en,,,3,572846848785944576,taaaap35,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @taaaap35: #PoliceLivesMatter DOJ finds bias in Ferguson Police probe. What the hell did you think the Eric Holder witch hunt would conc…,https://twitter.com/jensen1230/status/572980788104331265,Sat Feb 16 22:35:35 +0000 2013,jensen1230,False,ret local govt manager-conservative politics-#Benghazi-secure our borders-support/honor our troops & vets,19211,2077,2251,38,,Pam Brant ,jensen1230,31872,,,False
,Wed Mar 04 15:28:46 +0000 2015,Ferguson PoliceLivesMatter,,,1,573143051704537090,,,,en,,,0,,,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Hey @presidentObama Georgia police officer fatally shot by suspect in ambush, where is your outrage? #Ferguson  #PoliceLivesMatter",https://twitter.com/Nigrelli2997/status/573143051704537090,Thu Oct 18 15:13:13 +0000 2012,Nigrelli2997,False,Live each day like it's your last!,999,81,110,0,"Buffalo, NY",Steve Nigrelli,Nigrelli2997,2768,Eastern Time (US & Canada),,False
,Wed Mar 04 18:20:52 +0000 2015,PoliceLivesMatter,,http://fxn.ws/1Fa10EB,0,573186359508242432,,,,en,,False,0,,,"<a href=""http://login.foxnews.com"" rel=""nofollow"">FOX News Login</a>",BREAKING: DOJ will not prosecute former Ferguson police officer Darren Wilson | http://t.co/ywxC4RwBM8 #PoliceLivesMatter,https://twitter.com/StevenRosenblum/status/573186359508242432,Tue Sep 29 17:44:51 +0000 2009,StevenRosenblum,False,Pissed off patriot. #2A supporter.Former host of #CRFRadio on #BTR. '10 GOP nominee FL State House-Dist-89. @BigHollywood contributor. #IamBreitbart #NRA #TCOT,588,1250,1117,40,United States,Steven Rosenblum,StevenRosenblum,14903,Eastern Time (US & Canada),,False
,Wed Mar 04 20:17:10 +0000 2015,SupportPolice PoliceLivesMatter Ferguson SupportDarrenWilson,,http://fb.me/3PQXiL9aA,0,573215629018320896,,,,en,,False,0,,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",The way it should be. #SupportPolice #PoliceLivesMatter #Ferguson #SupportDarrenWilson Now I'll sit back and wait... http://t.co/0nK7FZBv5w,https://twitter.com/DoctorMikeCrain/status/573215629018320896,Wed Mar 14 22:46:50 +0000 2012,DoctorMikeCrain,False,I'm a huge supporter of Law Enforecment and Fire/EMS. I'm a Police Chaplain for a few departments. #PoliceLivesMatter,5505,413,642,16,"Huber Heights, OH",Dr. Michael A. Crain,DoctorMikeCrain,6601,,,False
